ID_Matriz;Area;Curso;Modalidade;ID_Disciplina;Nome_Disciplina;Sinergia;Carga_Horaria;CH_Teorica;CH_Pratica_Sala;CH_Pratica_Lab;CH_EAD;CH_ASM;CH_Estagio;CH_Extensao;Eh_EAD
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D001;Disciplina 1 - Enfermagem;Não;40;0;0;0;30;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D002;Disciplina 2 - Enfermagem;Não;40;0;0;0;40;0;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D003;Disciplina 3 - Enfermagem;Sim;120;0;0;0;100;20;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D004;Disciplina 4 - Enfermagem;Não;40;0;0;0;40;0;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D005;Disciplina 5 - Enfermagem;Não;40;0;0;0;30;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D006;Disciplina 6 - Enfermagem;Não;40;0;0;0;30;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D007;Disciplina 7 - Enfermagem;Sim;60;0;0;0;50;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D008;Disciplina 8 - Enfermagem;Não;60;0;0;0;50;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D009;Disciplina 9 - Enfermagem;Não;40;0;0;0;40;0;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D010;Disciplina 10 - Enfermagem;Não;60;0;0;0;50;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D011;Disciplina 11 - Enfermagem;Sim;120;0;0;0;100;20;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D012;Disciplina 12 - Enfermagem;Sim;60;0;0;0;50;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D013;Disciplina 13 - Enfermagem [PROJETO DE EXTENSÃO];Sim;120;0;0;0;70;10;0;40;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D014;Disciplina 14 - Enfermagem;Não;80;0;0;0;60;20;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D015;Disciplina 15 - Enfermagem;Sim;40;0;0;0;40;0;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D016;Disciplina 16 - Enfermagem;Não;60;0;0;0;50;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D017;Disciplina 17 - Enfermagem;Sim;120;0;0;0;100;20;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D018;Disciplina 18 - Enfermagem;Não;80;0;0;0;70;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D019;Disciplina 19 - Enfermagem;Não;80;0;0;0;70;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D020;Disciplina 20 - Enfermagem;Sim;60;0;0;0;50;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D021;Disciplina 21 - Enfermagem;Não;60;0;0;0;50;10;0;0;1
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D022;Disciplina 22 - Enfermagem;Sim;80;20;20;40;0;0;0;0;0
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D023;Disciplina 23 - Enfermagem;Não;40;10;20;10;0;0;0;0;0
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D024;Disciplina 24 - Enfermagem;Sim;40;0;30;10;0;0;0;0;0
MAT001;Saúde;Enfermagem;Semipresencial;MAT001_D025;Disciplina 25 - Enfermagem;Sim;120;20;50;50;0;0;0;0;0
